样本id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,收率
1,300,0.0,405.0,700,6:30:00,25.0,0,0.0,8:00:00,100,9:00:00,103,0.2,10:00:00,104.0,11:00:00,105.0,0.2,300,30,40.0,9.0,5.0,15:30:00,70,16:00:00,78,60,320.0,3.5,3.5,90,2:30:00,60,4:30:00,40.0,90,90.0,0.0,800.0,0.15,400,0.9
4,300,0.0,405.0,700,14:00:00,24.0,0,0.0,15:30:00,100,16:30:00,102,0.2,17:30:00,102.0,18:30:00,102.0,0.2,300,30,40.0,10.0,5.0,19:00:00,70,19:30:00,78,90,300.0,3.5,3.5,60,6:30:00,60,12:00:00,40.0,90,30.0,0.0,800.0,0.15,400,0.8959999999999999
8,300,0.0,405.0,700,3:30:00,21.0,0,0.0,5:00:00,100,6:00:00,102,0.2,7:00:00,103.0,8:00:00,105.0,0.2,300,30,40.0,9.0,5.0,12:00:00,70,12:30:00,78,60,310.0,3.5,3.5,60,21:00:00,58,0:30:00,40.0,90,90.0,0.0,800.0,0.15,420,0.93
9,300,0.0,405.0,700,15:00:00,21.0,0,0.0,16:00:00,100,17:00:00,102,0.2,18:00:00,103.0,19:00:00,104.0,0.2,300,30,40.0,9.0,5.0,21:00:00,71,21:30:00,78,60,310.0,3.5,3.5,90,6:00:00,59,12:00:00,40.0,90,60.0,0.0,800.0,0.15,420,0.935
11,300,0.0,405.0,700,6:00:00,20.0,0,0.0,7:30:00,100,8:30:00,102,0.2,9:30:00,102.0,10:30:00,102.0,0.2,300,30,40.0,10.0,5.0,11:30:00,70,12:00:00,78,60,310.0,3.5,3.5,60,1:00:00,60,3:30:00,40.0,90,90.0,0.0,800.0,0.15,420,0.9229999999999999
13,300,0.0,405.0,700,3:30:00,21.0,0,0.0,5:00:00,100,6:00:00,102,0.2,7:00:00,103.0,8:00:00,104.0,0.2,300,30,30.0,9.0,5.0,12:20:00,71,13:20:00,78,60,300.0,3.5,3.5,90,20:30:00,60,0:00:00,40.0,90,90.0,0.0,800.0,0.15,420,0.9229999999999999
14,300,0.0,405.0,700,13:00:00,23.0,0,0.0,14:30:00,100,15:30:00,103,0.2,16:30:00,103.0,17:30:00,104.0,0.2,300,30,40.0,10.0,5.0,19:30:00,70,20:00:00,78,60,300.0,3.5,3.5,90,7:30:00,65,10:00:00,40.0,150,90.0,0.0,800.0,0.15,420,0.9229999999999999
16,300,0.0,405.0,700,7:00:00,24.0,0,0.0,8:00:00,100,9:00:00,102,0.2,10:00:00,103.0,11:00:00,104.0,0.2,300,30,40.0,9.0,5.0,16:30:00,70,17:00:00,78,90,310.0,3.5,3.5,90,2:00:00,65,8:00:00,40.0,90,90.0,0.0,800.0,0.15,420,0.9229999999999999
17,300,0.0,405.0,700,19:00:00,23.0,0,0.0,20:30:00,100,21:30:00,102,0.2,22:30:00,102.0,23:30:00,103.0,0.2,300,30,50.0,9.0,5.0,1:30:00,70,2:00:00,77,60,300.0,3.5,3.5,60,12:00:00,60,16:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.879
21,300,0.0,405.0,700,8:30:00,24.0,0,0.0,9:00:00,100,10:00:00,103,0.2,11:00:00,103.0,12:00:00,103.0,0.2,300,30,35.0,9.0,5.0,16:00:00,71,16:30:00,79,60,300.0,3.5,3.5,90,1:30:00,60,4:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.8909999999999999
22,300,0.0,405.0,700,17:00:00,24.0,0,0.0,18:30:00,100,19:30:00,102,0.2,20:30:00,101.0,21:30:00,104.0,0.2,300,30,50.0,10.0,5.0,1:00:00,70,1:30:00,78,60,300.0,3.5,3.5,60,13:00:00,60,16:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.879
24,300,0.0,405.0,700,14:00:00,21.0,0,0.0,15:30:00,100,16:30:00,102,0.2,17:30:00,103.0,18:30:00,104.0,0.2,300,30,35.0,9.0,5.0,20:00:00,70,20:30:00,78,60,310.0,3.5,3.5,90,8:00:00,65,12:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.879
25,300,0.0,405.0,700,22:00:00,22.0,0,0.0,23:30:00,100,12:30:00,102,0.2,1:30:00,102.0,2:30:00,103.0,0.2,300,30,35.0,9.0,5.0,7:00:00,70,7:30:00,78,60,300.0,3.5,3.5,90,16:30:00,60,19:30:00,40.0,120,90.0,0.0,800.0,0.15,400,0.8909999999999999
26,300,0.0,405.0,700,8:00:00,21.0,0,0.0,9:30:00,100,10:30:00,102,0.2,11:30:00,102.0,12:30:00,103.0,0.2,300,60,50.0,10.0,5.0,16:30:00,70,17:00:00,78,60,300.0,3.5,3.5,60,2:00:00,60,5:00:00,40.0,90,90.0,0.0,800.0,0.15,420,0.9229999999999999
27,300,0.0,405.0,700,16:30:00,20.0,0,0.0,17:30:00,100,18:30:00,102,0.2,19:30:00,103.0,20:30:00,104.0,0.2,300,30,40.0,9.0,5.0,1:30:00,70,2:00:00,78,60,310.0,3.5,3.5,90,13:00:00,80,17:00:00,40.0,90,90.0,0.0,800.0,0.15,420,0.9229999999999999
29,300,0.0,405.0,700,14:00:00,22.0,0,0.0,15:30:00,100,16:30:00,103,0.2,17:30:00,103.0,18:30:00,103.0,0.2,300,30,50.0,10.0,5.0,21:00:00,70,21:30:00,78,60,300.0,3.5,3.5,60,7:30:00,60,11:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.8909999999999999
30,300,0.0,405.0,700,23:00:00,24.0,0,0.0,0:00:00,100,1:00:00,101,0.2,2:00:00,105.0,3:00:00,105.0,0.2,300,30,50.0,10.0,5.0,7:00:00,70,7:30:00,78,60,300.0,3.5,3.5,60,16:30:00,60,19:00:00,40.0,90,90.0,0.0,800.0,0.15,420,0.9229999999999999
33,300,0.0,405.0,700,3:30:00,24.0,0,0.0,5:00:00,100,6:00:00,102,0.2,7:00:00,103.0,8:00:00,103.0,0.2,300,30,50.0,10.0,5.0,12:30:00,70,13:00:00,78,60,300.0,3.5,3.5,90,20:30:00,60,22:30:00,40.0,90,150.0,0.0,800.0,0.15,420,0.9229999999999999
34,300,0.0,405.0,700,14:30:00,22.0,0,0.0,15:30:00,100,16:30:00,104,0.2,17:30:00,106.0,18:30:00,105.0,0.2,300,30,40.0,9.0,5.0,19:30:00,70,20:00:00,78,60,300.0,3.5,3.5,60,6:00:00,60,12:00:00,40.0,90,90.0,0.0,800.0,0.15,440,0.9670000000000001
36,300,0.0,405.0,700,7:00:00,21.0,0,0.0,8:20:00,100,9:20:00,103,0.2,10:20:00,103.0,11:20:00,103.0,0.2,300,30,40.0,9.0,5.0,16:30:00,70,17:00:00,78,60,300.0,3.5,3.5,90,4:00:00,60,8:00:00,40.0,90,90.0,0.0,800.0,0.15,420,0.935
37,300,0.0,405.0,700,17:30:00,24.0,0,0.0,19:00:00,100,20:00:00,102,0.2,21:00:00,102.0,22:00:00,102.0,0.2,300,30,50.0,10.0,5.0,3:30:00,70,4:00:00,78,60,310.0,3.5,3.5,90,13:30:00,60,16:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.8909999999999999
39,300,0.0,405.0,700,14:00:00,21.0,0,0.0,15:00:00,100,16:00:00,102,0.2,17:30:00,103.0,18:00:00,102.0,0.2,300,30,40.0,9.0,5.0,20:30:00,70,21:00:00,78,60,310.0,3.5,3.5,60,6:30:00,65,12:00:00,40.0,90,90.0,0.0,800.0,0.15,440,0.9797
41,300,0.0,405.0,700,7:00:00,23.0,0,0.0,8:00:00,100,9:00:00,103,0.2,10:00:00,103.0,11:00:00,103.0,0.2,300,30,50.0,10.0,5.0,16:30:00,70,17:00:00,78,60,310.0,3.5,3.5,90,2:30:00,60,6:30:00,40.0,90,30.0,0.0,800.0,0.15,440,0.9670000000000001
42,300,0.0,405.0,700,17:30:00,22.0,0,0.0,18:30:00,100,19:30:00,102,0.2,20:30:00,104.0,21:30:00,104.0,0.2,300,30,50.0,9.0,5.0,1:30:00,70,2:00:00,78,60,310.0,3.5,3.5,90,12:30:00,60,17:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.902
43,300,0.0,405.0,700,3:30:00,21.0,0,0.0,4:30:00,100,5:30:00,102,0.2,6:30:00,103.0,7:30:00,104.0,0.2,300,30,40.0,9.0,5.0,11:30:00,70,12:00:00,78,60,300.0,3.5,3.5,90,21:30:00,60,2:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.902
44,300,0.0,405.0,700,13:30:00,23.0,0,0.0,15:00:00,100,16:00:00,102,0.2,17:00:00,102.0,18:00:00,103.0,0.2,300,90,50.0,10.0,5.0,21:30:00,70,22:00:00,78,60,300.0,3.5,3.5,90,7:30:00,60,11:00:00,40.0,90,90.0,0.0,800.0,0.15,400,0.902
45,300,0.0,405.0,700,23:00:00,24.0,0,0.0,0:30:00,100,1:30:00,102,0.2,2:30:00,104.0,3:30:00,104.0,0.2,300,30,50.0,9.0,5.0,7:00:00,70,7:30:00,78,60,310.0,3.5,3.5,60,17:30:00,60,19:30:00,40.0,90,90.0,0.0,800.0,0.15,400,0.902
47,300,0.0,405.0,700,18:00:00,21.0,0,0.0,19:00:00,100,20:00:00,102,0.2,21:00:00,103.0,22:00:00,103.0,0.2,300,30,40.0,9.0,5.0,1:00:00,70,1:30:00,78,60,300.0,3.5,3.5,90,12:30:00,60,16:00:00,40.0,90,90.0,0.0,800.0,0.15,420,0.935
50,300,0.0,405.0,700,3:00:00,20.0,0,0.0,4:00:00,100,5:00:00,104,0.2,6:00:00,106.0,7:00:00,106.0,0.2,300,30,50.0,9.0,5.0,8:20:00,70,8:50:00,75,70,350.0,3.5,3.5,60,11:00:00,69,12:30:00,46.0,90,90.0,0.0,800.0,0.15,400,0.902
51,300,0.0,405.0,700,8:00:00,20.0,0,0.0,9:00:00,100,10:00:00,105,0.2,11:00:00,105.0,12:00:00,107.0,0.2,300,30,50.0,9.0,5.0,13:20:00,70,13:50:00,70,70,350.0,3.5,3.5,60,16:00:00,68,17:30:00,45.0,120,90.0,0.0,800.0,0.15,400,0.902
52,300,0.0,405.0,700,13:00:00,18.0,0,0.0,14:00:00,100,15:00:00,103,0.2,16:00:00,104.0,17:00:00,105.0,0.2,300,30,50.0,9.0,5.0,18:20:00,70,18:50:00,77,70,350.0,3.5,3.5,60,21:00:00,69,22:30:00,46.0,90,90.0,0.0,800.0,0.15,400,0.902
57,300,0.0,405.0,700,14:00:00,18.0,0,0.0,15:00:00,100,16:00:00,104,0.2,17:00:00,105.0,18:00:00,105.0,0.2,300,30,50.0,9.0,5.0,19:20:00,70,19:50:00,77,70,350.0,3.5,3.5,60,22:00:00,70,23:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
58,300,0.0,405.0,700,19:00:00,18.0,0,0.0,20:00:00,100,21:00:00,105,0.2,22:00:00,104.0,23:00:00,106.0,0.2,300,30,50.0,9.0,5.0,0:20:00,70,0:50:00,75,70,350.0,3.5,3.5,60,3:00:00,71,4:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
60,300,0.0,405.0,700,5:00:00,18.0,0,0.0,6:00:00,100,7:00:00,103,0.2,8:00:00,105.0,9:00:00,107.0,0.2,300,30,50.0,9.0,5.0,10:20:00,70,10:50:00,74,70,350.0,3.5,3.5,60,13:00:00,70,14:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
61,300,0.0,405.0,700,10:00:00,18.0,0,0.0,11:00:00,100,12:00:00,106,0.2,13:00:00,106.0,14:00:00,105.0,0.2,300,30,50.0,9.0,5.0,15:20:00,70,15:50:00,75,70,350.0,3.5,3.5,60,18:00:00,70,19:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
63,300,0.0,405.0,700,20:00:00,18.0,0,0.0,21:00:00,100,22:00:00,103,0.2,23:00:00,104.0,0:00:00,105.0,0.2,300,30,50.0,9.0,5.0,1:20:00,70,1:50:00,75,70,350.0,3.5,3.5,60,4:00:00,71,5:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
64,300,0.0,405.0,700,1:00:00,18.0,0,0.0,2:00:00,100,3:00:00,104,0.2,4:00:00,105.0,5:00:00,106.0,0.2,300,30,50.0,9.0,5.0,6:20:00,70,6:50:00,75,70,350.0,3.5,3.5,60,9:00:00,70,10:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
65,300,0.0,405.0,700,6:00:00,18.0,0,0.0,7:00:00,100,8:00:00,105,0.2,9:00:00,106.0,10:00:00,107.0,0.2,300,30,50.0,9.0,5.0,11:20:00,70,11:50:00,75,70,350.0,3.5,3.5,60,14:00:00,70,15:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
66,300,0.0,405.0,700,11:00:00,18.0,0,0.0,12:00:00,100,13:00:00,105,0.2,14:00:00,105.0,15:00:00,106.0,0.2,300,30,50.0,9.0,5.0,16:20:00,70,16:50:00,76,70,350.0,3.5,3.5,60,19:00:00,69,20:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
68,300,0.0,405.0,700,21:00:00,18.0,0,0.0,22:00:00,100,23:00:00,106,0.2,0:00:00,106.0,1:00:00,107.0,0.2,300,30,50.0,9.0,5.0,2:20:00,70,2:50:00,76,70,350.0,3.5,3.5,60,5:00:00,70,6:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
69,300,0.0,405.0,700,2:00:00,18.0,0,0.0,3:00:00,100,4:00:00,103,0.2,5:00:00,105.0,6:00:00,105.0,0.2,300,30,50.0,9.0,5.0,7:20:00,70,7:50:00,74,70,350.0,3.5,3.5,60,10:00:00,70,11:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
70,300,0.0,405.0,700,7:00:00,18.0,0,0.0,8:00:00,100,9:00:00,104,0.2,10:00:00,106.0,11:00:00,107.0,0.2,300,30,50.0,9.0,5.0,12:20:00,70,12:50:00,76,70,350.0,3.5,3.5,60,15:00:00,70,16:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
71,300,0.0,405.0,700,12:00:00,18.0,0,0.0,13:00:00,100,14:00:00,104,0.2,15:00:00,104.0,16:00:00,105.0,0.2,300,30,50.0,9.0,5.0,17:20:00,70,17:50:00,75,70,350.0,3.5,3.5,60,20:00:00,70,21:30:00,45.0,90,90.0,0.0,800.0,0.15,400,0.902
72,300,0.0,405.0,700,22:00:00,30.0,0,0.0,0:00:00,101,1:00:00,103,0.2,2:00:00,105.0,3:00:00,107.0,0.2,200,60,50.0,9.0,5.0,4:00:00,80,5:00:00,72,60,320.0,3.5,3.5,60,7:00:00,78,9:00:00,45.0,90,90.0,60.0,1200.0,0.15,420,0.971
